time,swing_leg,x,z,step_length,step_duration
29.438000000000002,right,0.716308594,0.11730957,0.0007934569999999974,0.10400000000000276
29.542,right,0.716308594,0.117248535,6.103500000000095e-05,0.1039999999999992
29.658,right,0.716308594,0.117248535,0.0,0.11599999999999966
29.76,right,0.716308594,0.11730957,6.103500000000095e-05,0.10200000000000031
29.87,right,0.716308594,0.117370605,6.103500000000095e-05,0.10999999999999943
29.972,right,0.716308594,0.117370605,0.0,0.10200000000000031
30.076,right,0.716308594,0.11730957,6.103500000000095e-05,0.1039999999999992
30.186,right,0.716308594,0.11730957,0.0,0.10999999999999943
30.288,right,0.716308594,0.117248535,6.103500000000095e-05,0.10200000000000031
30.388,right,0.716308594,0.117248535,0.0,0.10000000000000142
30.5,right,0.716308594,0.117248535,0.0,0.11199999999999832
30.606,right,0.716308594,0.1171875,6.103500000000095e-05,0.10600000000000165
30.728,right,0.716308594,0.116455078,0.0007324219999999965,0.12199999999999989
30.872,right,0.716308594,0.116333008,0.0001220700000000019,0.14399999999999835
30.988,right,0.716308594,0.116333008,0.0,0.11599999999999966
31.11,right,0.716308594,0.116271973,6.103500000000095e-05,0.12199999999999989
31.214000000000002,right,0.716308594,0.116271973,0.0,0.10400000000000276
31.338,right,0.716308594,0.116333008,6.103500000000095e-05,0.12399999999999878
31.442,right,0.716308594,0.116394043,6.103500000000095e-05,0.1039999999999992
31.542,right,0.716308594,0.116333008,6.103500000000095e-05,0.10000000000000142
31.646,right,0.716308594,0.116333008,0.0,0.1039999999999992
31.746000000000002,right,0.716308594,0.116333008,0.0,0.10000000000000142
31.852,right,0.716308594,0.116333008,0.0,0.1059999999999981
31.954,right,0.716308594,0.116333008,0.0,0.10200000000000031
32.064,right,0.716308594,0.116333008,0.0,0.10999999999999943
32.172000000000004,right,0.716308594,0.116333008,0.0,0.10800000000000409
32.278,right,0.716308594,0.116333008,0.0,0.10599999999999454
32.392,right,0.716308594,0.116333008,0.0,0.11400000000000432
32.496,right,0.716308594,0.116333008,0.0,0.1039999999999992
32.602000000000004,right,0.716308594,0.116333008,0.0,0.10600000000000165
32.730000000000004,right,0.716308594,0.116333008,0.0,0.1280000000000001
32.844,right,0.716308594,0.116333008,0.0,0.11399999999999721
32.954,right,0.716308594,0.116333008,0.0,0.10999999999999943
33.056,right,0.716308594,0.116271973,6.103500000000095e-05,0.10199999999999676
33.156,right,0.716308594,0.116271973,0.0,0.10000000000000142
33.258,right,0.716308594,0.116333008,6.103500000000095e-05,0.10200000000000387
33.462,right,0.716308594,0.116271973,6.103500000000095e-05,0.20400000000000063
33.564,right,0.716308594,0.116271973,0.0,0.10199999999999676
33.678,right,0.716308594,0.116271973,0.0,0.11399999999999721
33.782000000000004,right,0.716308594,0.116333008,6.103500000000095e-05,0.10400000000000631
33.894,right,0.716308594,0.117004395,0.0006713869999999955,0.11199999999999477
34.004,right,0.716308594,0.117248535,0.0002441400000000038,0.10999999999999943
34.106,right,0.716308594,0.11730957,6.103500000000095e-05,0.10200000000000387
34.216,right,0.716308594,0.116455078,0.0008544919999999984,0.10999999999999943
34.334,right,0.716308594,0.116333008,0.0001220700000000019,0.1180000000000021
34.45,right,0.716308594,0.116333008,0.0,0.11599999999999966
34.550000000000004,right,0.716308594,0.116271973,6.103500000000095e-05,0.10000000000000142
34.666000000000004,right,0.716308594,0.116271973,0.0,0.11599999999999966
34.792,right,0.716308594,0.116271973,0.0,0.12599999999999767
34.892,right,0.716308594,0.116271973,0.0,0.10000000000000142
35.012,right,0.716308594,0.116333008,6.103500000000095e-05,0.11999999999999744
35.124,right,0.716308594,0.116333008,0.0,0.11200000000000188
35.228,right,0.716308594,0.116333008,0.0,0.1039999999999992
35.332,right,0.716308594,0.116333008,0.0,0.1039999999999992
35.482,right,0.716308594,0.116333008,0.0,0.14999999999999858
35.618,right,0.716308594,0.116333008,0.0,0.13600000000000279
35.736000000000004,right,0.716308594,0.116271973,6.103500000000095e-05,0.1180000000000021
35.842,right,0.716308594,0.116333008,6.103500000000095e-05,0.10599999999999454
35.964,right,0.716308594,0.116516113,0.00018310500000000285,0.12199999999999989
36.074,right,0.716308594,0.116455078,6.103500000000095e-05,0.10999999999999943
36.206,right,0.716308594,0.116455078,0.0,0.132000000000005
36.326,right,0.716308594,0.116394043,6.103500000000095e-05,0.11999999999999744
36.43,right,0.716308594,0.116394043,0.0,0.1039999999999992
36.552,right,0.716308594,0.116271973,0.0001220700000000019,0.12199999999999989
36.660000000000004,right,0.716308594,0.116333008,6.103500000000095e-05,0.10800000000000409
36.766,right,0.716308594,0.116333008,0.0,0.10599999999999454
36.87,right,0.716308594,0.116333008,0.0,0.1039999999999992
37.018,right,0.716308594,0.116271973,6.103500000000095e-05,0.14800000000000324
37.126,right,0.716308594,0.116271973,0.0,0.10799999999999699
37.236000000000004,right,0.716308594,0.116333008,6.103500000000095e-05,0.11000000000000654
37.34,right,0.716308594,0.116333008,0.0,0.1039999999999992
37.472,right,0.716308594,0.116271973,6.103500000000095e-05,0.1319999999999979
37.578,right,0.716308594,0.116271973,0.0,0.10600000000000165
37.698,right,0.716308594,0.116271973,0.0,0.11999999999999744
37.81,right,0.716308594,0.116333008,6.103500000000095e-05,0.11200000000000188
37.918,right,0.716308594,0.116333008,0.0,0.10799999999999699
38.038000000000004,right,0.716308594,0.116271973,6.103500000000095e-05,0.12000000000000455
38.15,right,0.716308594,0.116271973,0.0,0.11199999999999477
38.302,right,0.716308594,0.116333008,6.103500000000095e-05,0.15200000000000102
38.404,right,0.716308594,0.116333008,0.0,0.10200000000000387
38.522,right,0.716308594,0.116333008,0.0,0.117999999999995
38.626,right,0.716308594,0.116271973,6.103500000000095e-05,0.1039999999999992
38.762,right,0.716308594,0.116271973,0.0,0.13600000000000279
38.896,right,0.716308594,0.116271973,0.0,0.13400000000000034
39.008,right,0.716308594,0.116333008,6.103500000000095e-05,0.11200000000000188
39.108000000000004,right,0.716308594,0.116333008,0.0,0.10000000000000142
39.224000000000004,right,0.716308594,0.116271973,6.103500000000095e-05,0.11599999999999966
39.336,right,0.716308594,0.116333008,6.103500000000095e-05,0.11199999999999477
39.44,right,0.716308594,0.116333008,0.0,0.1039999999999992
39.542,right,0.715820313,0.116210938,0.0005033084738616868,0.10200000000000387
39.65,right,0.716308594,0.116271973,0.0004920808939452739,0.10799999999999699
39.756,right,0.716308594,0.116271973,0.0,0.10600000000000165
39.86,right,0.716308594,0.116271973,0.0,0.1039999999999992
39.968,right,0.716308594,0.116271973,0.0,0.10800000000000409
40.084,right,0.716308594,0.116333008,6.103500000000095e-05,0.11599999999999966
40.186,right,0.716308594,0.116271973,6.103500000000095e-05,0.10199999999999676
40.298,right,0.716308594,0.116333008,6.103500000000095e-05,0.11200000000000188
40.408,right,0.716308594,0.116333008,0.0,0.10999999999999943
